model,file_list,example_file,sample_n,tuning_n,seed,correct_true_count,correct_true_fraction,exact_match_true_count,exact_match_true_fraction,edit_distance_mean,model_latency_mean
gpt-4,11,1,42,ce-q0-l2-4,ce2.json,11,1.0,11,1.0,0.0,1.5224543484774502
gpt-4,11,1,42,ce-q0-l2-4,ce3.json,6,0.5454545454545454,6,0.5454545454545454,3.090909090909091,1.4117649035020308
