model,sample_n,tuning_n,seed,file_list,example_file,correct_true_count,correct_true_fraction,exact_match_true_count,exact_match_true_fraction,edit_distance_mean,model_latency_mean
gpt-4,200,5,42,ceVPill2-4,ceVPillusion2.json,97,0.485,97,0.485,2.03,1.14435990691185
gpt-4,200,5,42,ceVPill2-4,ceVPillusion3.json,105,0.525,105,0.525,1.95,1.153029021024704
gpt-4,200,5,42,ceVPill2-4,ceVPillusion4.json,92,0.46,92,0.46,2.08,1.1203797829151154
