model,sample_n,tuning_n,seed,file_list,example_file,correct_true_count,correct_true_fraction,exact_match_true_count,exact_match_true_fraction,edit_distance_mean,model_latency_mean
gpt-4,200,5,42,ce2var-l3-4,ce2var3.json,148,0.74,148,0.74,4.52,1.562707552909851
gpt-4,200,5,42,ce2var-l3-4,ce2var4.json,52,0.26,52,0.26,12.925,1.469593915939331
