model,sample_n,tuning_n,seed,file_list,example_file,correct_true_count,correct_true_fraction,exact_match_true_count,exact_match_true_fraction,edit_distance_mean,model_latency_mean
gpt-4,200,20,42,ce2var-l3-4,ce2var3.json,198,0.99,198,0.99,0.1,1.5643745589256286
gpt-4,200,20,42,ce2var-l3-4,ce2var4.json,120,0.6,120,0.6,5.595,1.4764794552326201
