model,sample_n,tuning_n,seed,file_list,example_file,correct_true_count,correct_true_fraction,exact_match_true_count,exact_match_true_fraction,edit_distance_mean,model_latency_mean
gpt-4,200,0,42,ce-q0-l1-4,ce1.json,200,1.0,199,0.995,0.005,1.2645198690891266
gpt-4,200,0,42,ce-q0-l1-4,ce2.json,100,0.5,100,0.5,3.16,1.3261338436603547
gpt-4,200,0,42,ce-q0-l1-4,ce3.json,77,0.385,77,0.385,3.875,1.2757414710521697
gpt-4,200,0,42,ce-q0-l1-4,ce4_sample.json,39,0.195,39,0.195,5.145,1.26430526137352
